estimate_id,estimate_number,version,customer_id,archetype,status,scope_description,exclusions,assumptions,total,cost_estimate,markup_pct,tax_amount,created_at,sent_at,valid_until,accepted_at,project_id,narrative_tag
EST-4F32A47F,EST-0001,1,CUST-011,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4825.27,2524.8,0.9111,0.0,2024-01-02,2024-01-06,2024-02-01,2024-01-21,PROJ-30C2FC8F,
EST-FB854CDC,EST-0002,1,CUST-006,room_addition,accepted,"New room addition including foundation, framing, roofing, MEP rough-ins, insulation, drywall, trim, and flooring.","Furniture, window treatments, landscaping restoration.",Permit approval within 4 weeks of submission. No unforeseen underground obstructions.,80407.51,55902.33,0.4384,0.0,2024-01-26,2024-01-30,2024-02-25,2024-02-02,PROJ-0B34E038,
EST-264E571D,EST-0003,1,CUST-008,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,25308.7,17328.76,0.4605,0.0,2024-02-11,2024-02-13,2024-03-12,,,
EST-C4827EA8,EST-0004,1,CUST-001,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,24003.8,15222.36,0.5769,0.0,2024-02-17,2024-02-18,2024-03-18,,,
EST-389AD75B,EST-0005,1,CUST-006,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,29190.65,18326.19,0.5928,0.0,2024-03-17,2024-03-19,2024-04-16,,,
EST-CC815282,EST-0006,1,CUST-008,kitchen_remodel,expired,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,123589.01,77805.29,0.5884,0.0,2024-03-17,2024-03-19,2024-04-16,,,
EST-490BF9A8,EST-0007,1,CUST-007,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,27976.99,18379.24,0.5222,0.0,2024-03-13,2024-03-15,2024-04-12,2024-04-01,PROJ-B719F4A7,
EST-D6185D74,EST-0008,1,CUST-001,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,41383.05,28620.77,0.4459,0.0,2024-03-17,2024-03-19,2024-04-16,2024-03-29,PROJ-548ABFA2,
EST-69221ADF,EST-0009,1,CUST-011,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3926.28,1766.76,1.2223,0.0,2024-03-01,2024-03-04,2024-03-31,2024-03-21,PROJ-2BD4EB76,
EST-141237EC,EST-0010,1,CUST-010,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3466.57,1288.49,1.6904,0.0,2024-04-13,2024-04-16,2024-05-13,,,
EST-8983E111,EST-0011,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3628.62,1612.74,1.25,0.0,2024-04-17,2024-04-20,2024-05-17,2024-04-29,PROJ-B7191EAB,
EST-E05C6205,EST-0012,1,CUST-006,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3814.66,1969.11,0.9373,0.0,2024-04-10,2024-04-14,2024-05-10,,,
EST-C67F344B,EST-0013,1,CUST-012,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2561.87,886.27,1.8906,0.0,2024-04-04,2024-04-05,2024-05-04,,,
EST-D08D21FC,EST-0014,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3399.95,1484.97,1.2896,0.0,2024-05-20,2024-05-24,2024-06-19,2024-06-06,PROJ-8BF7C356,
EST-B96C190D,EST-0015,1,CUST-003,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2830.91,1146.58,1.469,0.0,2024-05-20,2024-05-24,2024-06-19,,,
EST-ED0F5DEF,EST-0016,1,CUST-009,deck_addition,declined,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,76881.37,43115.63,0.7831,0.0,2024-05-21,2024-05-22,2024-06-20,,,
EST-4DD9018D,EST-0017,1,CUST-013,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2161.92,1003.47,1.1544,0.0,2024-05-21,2024-05-24,2024-06-20,,,
EST-2F660B84,EST-0018,1,CUST-013,new_construction,accepted,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,527245.44,406153.57,0.2981,0.0,2024-05-19,2024-05-21,2024-06-18,2024-06-01,PROJ-0A179D7B,
EST-52546706,EST-0019,1,CUST-011,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3131.68,1396.37,1.2427,0.0,2024-05-22,2024-05-26,2024-06-21,,,
EST-5D53E17C,EST-0020,1,CUST-011,tenant_improvement,expired,"Commercial tenant improvement per plans including demo, framing, MEP, finishes.","FF&E, signage, low-voltage data cabling (unless noted), security systems.",Base building in good condition. Existing HVAC capacity adequate for new layout.,94791.55,64833.71,0.4621,0.0,2024-06-27,2024-06-30,2024-07-27,,,
EST-48CFA138,EST-0021,1,CUST-004,kitchen_remodel,accepted,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,138710.13,92609.64,0.4978,0.0,2024-06-20,2024-06-22,2024-07-20,2024-07-10,PROJ-A0479F56,
EST-08F4B687,EST-0022,1,CUST-009,kitchen_remodel,accepted,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,120611.7,82568.48,0.4607,0.0,2024-06-19,2024-06-23,2024-07-19,2024-07-14,PROJ-B781EA5C,
EST-D76DE9FC,EST-0023,1,CUST-007,bathroom_remodel,declined,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,39069.15,24354.79,0.6042,0.0,2024-06-10,2024-06-13,2024-07-10,,,
EST-2835D9ED,EST-0024,1,CUST-006,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,135783.43,92136.57,0.4737,0.0,2024-06-08,2024-06-12,2024-07-08,,,
EST-C3180189,EST-0025,1,CUST-001,room_addition,declined,"New room addition including foundation, framing, roofing, MEP rough-ins, insulation, drywall, trim, and flooring.","Furniture, window treatments, landscaping restoration.",Permit approval within 4 weeks of submission. No unforeseen underground obstructions.,213589.77,153360.1,0.3927,0.0,2024-07-23,2024-07-26,2024-08-22,,,
EST-14DE8FD1,EST-0026,1,CUST-013,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2073.01,953.88,1.1732,0.0,2024-07-18,2024-07-22,2024-08-17,,,
EST-2F84B78F,EST-0027,1,CUST-013,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3018.65,1351.81,1.233,0.0,2024-07-14,2024-07-16,2024-08-13,2024-08-02,PROJ-921F52BF,
EST-F8BC75BD,EST-0028,1,CUST-009,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,112284.21,75683.04,0.4836,0.0,2024-07-05,2024-07-08,2024-08-04,,,
EST-FE8D3A57,EST-0029,1,CUST-007,bathroom_remodel,declined,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,35170.0,22577.96,0.5577,0.0,2024-07-04,2024-07-05,2024-08-03,,,
EST-584CA98D,EST-0030,1,CUST-009,room_addition,expired,"New room addition including foundation, framing, roofing, MEP rough-ins, insulation, drywall, trim, and flooring.","Furniture, window treatments, landscaping restoration.",Permit approval within 4 weeks of submission. No unforeseen underground obstructions.,147062.55,99692.77,0.4752,0.0,2024-07-26,2024-07-27,2024-08-25,,,
EST-15551D8D,EST-0031,1,CUST-001,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,26714.97,18447.99,0.4481,0.0,2024-08-23,2024-08-26,2024-09-22,,,
EST-0FEEFEE7,EST-0032,1,CUST-008,kitchen_remodel,accepted,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,86723.17,52937.88,0.6382,0.0,2024-08-23,2024-08-26,2024-09-22,2024-09-10,PROJ-21938DC6,
EST-93B45255,EST-0033,1,CUST-004,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,87910.05,54374.41,0.6168,0.0,2024-08-08,2024-08-12,2024-09-07,,,
EST-B21443B7,EST-0034,1,CUST-009,deck_addition,declined,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,62447.11,36272.32,0.7216,0.0,2024-08-18,2024-08-19,2024-09-17,,,
EST-C5114BE4,EST-0035,1,CUST-005,deck_addition,declined,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,75809.19,46297.56,0.6374,0.0,2024-08-14,2024-08-16,2024-09-13,,,
EST-B7294D32,EST-0036,1,CUST-007,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3754.03,1562.29,1.4029,0.0,2024-09-19,2024-09-20,2024-10-19,2024-09-30,PROJ-32E69088,
EST-9C154F08,EST-0037,1,CUST-003,bathroom_remodel,accepted,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,32739.09,20147.1,0.625,0.0,2024-09-12,2024-09-14,2024-10-12,2024-09-17,PROJ-CB16FC8A,
EST-07E0AE68,EST-0038,1,CUST-010,deck_addition,accepted,"New pressure-treated deck with composite decking, stairs, railings, and post footings.","Landscaping, underground utilities, HOA approvals.",Site is accessible by equipment. Soil bearing capacity adequate for post footings.,60757.48,36666.69,0.657,0.0,2024-09-05,2024-09-09,2024-10-05,2024-09-27,PROJ-87ABD382,
EST-7824E3AD,EST-0039,1,CUST-010,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,2831.38,1276.35,1.2183,0.0,2024-09-04,2024-09-08,2024-10-04,2024-09-24,PROJ-6FBC8E65,
EST-F8B86921,EST-0040,1,CUST-009,kitchen_remodel,declined,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,89050.38,60128.02,0.481,0.0,2024-09-14,2024-09-17,2024-10-14,,,
EST-F04D356F,EST-0041,1,CUST-011,repair_service,expired,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4120.93,1572.49,1.6206,0.0,2024-10-28,2024-11-01,2024-11-27,,,
EST-48DE630F,EST-0042,1,CUST-013,new_construction,accepted,New single-family home construction per plans and specifications.,"Lot/land, financing, furniture, landscaping beyond final grade.",Plans are fully permitted. Utility connections available at property line.,557961.0,418762.27,0.3324,0.0,2024-10-03,2024-10-04,2024-11-02,2024-10-10,PROJ-7FE51EFE,
EST-BFF22041,EST-0043,1,CUST-003,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3666.77,1983.88,0.8483,0.0,2024-10-21,2024-10-25,2024-11-20,2024-11-04,PROJ-47F55F82,
EST-E70CF2BC,EST-0044,1,CUST-007,repair_service,accepted,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3765.32,1752.38,1.1487,0.0,2024-10-17,2024-10-18,2024-11-16,2024-11-02,PROJ-B57123B8,
EST-F980EA86,EST-0045,1,CUST-010,bathroom_remodel,expired,"Full bathroom renovation including demo, plumbing rough-in, tile shower/floor, vanity, fixtures, and paint.","Heated floor systems, steam generators, custom glass enclosures.",Existing drain locations remain. No structural modifications to wet wall.,29393.63,19221.84,0.5292,0.0,2024-11-22,2024-11-26,2024-12-22,,,
EST-E37245DC,EST-0046,1,CUST-004,kitchen_remodel,expired,"Complete kitchen renovation including demo, rough work, cabinets, countertops, tile backsplash, fixtures, and paint.","Appliances (unless noted), structural modifications, permits beyond standard building permit.",Existing plumbing and electrical locations remain. No asbestos or lead paint. Customer selects materials within allowances.,87509.66,61559.57,0.4215,0.0,2024-11-16,2024-11-19,2024-12-16,,,
EST-0248F102,EST-0047,1,CUST-002,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,4336.31,2116.26,1.049,0.0,2024-11-13,2024-11-16,2024-12-13,,,
EST-A51A81EB,EST-0048,1,CUST-001,repair_service,declined,Repair and service work per scope discussed on site.,Unrelated work discovered during service call.,Materials available locally. No concealed damage beyond visible scope.,3033.86,1285.44,1.3602,0.0,2024-11-18,2024-11-20,2024-12-18,,,
